# idx stamp x y z qx qy qz qw yaw pcd_file
73 1778838555.435855627 -3.191201 -0.632712 -0.806922 0.033550628 -0.011452576 -0.118442005 -0.992327912 0.236610026 keyframe_000073.pcd
74 1778838555.935975552 -2.957789 -0.572439 -0.733278 0.029298866 -0.012069059 -0.124146076 -0.991757867 0.248198619 keyframe_000074.pcd
75 1778838556.435976267 -2.714395 -0.477225 -0.689468 0.020627050 -0.007905708 -0.132288324 -0.990965097 0.265009603 keyframe_000075.pcd
76 1778838556.936008453 -2.476489 -0.407853 -0.623584 0.032266274 -0.002219426 -0.091856579 -0.995246869 0.183738585 keyframe_000076.pcd
77 1778838557.435901165 -2.230677 -0.393025 -0.553708 0.018853500 0.000132469 -0.077114548 -0.996843957 0.154360136 keyframe_000077.pcd
78 1778838558.035134792 -1.950201 -0.297038 -0.491443 0.019884554 -0.009925791 -0.087120703 -0.995949831 0.174065381 keyframe_000078.pcd
79 1778838558.535928488 -1.686812 -0.239970 -0.440860 0.021240833 -0.018583263 -0.097745538 -0.994811188 0.195086369 keyframe_000079.pcd
80 1778838558.736006975 -1.589840 -0.241027 -0.412359 0.016414141 -0.014933504 -0.048030051 -0.998599359 0.095628086 keyframe_000080.pcd
81 1778838559.335960865 -1.311430 -0.214679 -0.355104 0.008855177 -0.016619030 -0.051732343 -0.998483429 0.103256793 keyframe_000081.pcd
82 1778838559.835798264 -1.062779 -0.181494 -0.294526 0.001175217 -0.010810146 -0.055016567 -0.998426230 0.110082664 keyframe_000082.pcd
83 1778838560.335855246 -0.807788 -0.139725 -0.239267 0.010563773 -0.015727321 -0.050918515 -0.998523091 0.101582479 keyframe_000083.pcd
84 1778838560.935877323 -0.562306 -0.144121 -0.185706 0.004655401 -0.005325637 -0.010970757 -0.999914800 0.021893073 keyframe_000084.pcd
85 1778838561.435822248 -0.345825 -0.166753 -0.122039 -0.017148262 0.002629243 0.058149915 -0.998157108 -0.116439228 keyframe_000085.pcd
86 1778838562.135835171 -0.063659 -0.218217 -0.070517 -0.012642819 -0.022004961 0.083731137 -0.996165166 -0.167217738 keyframe_000086.pcd
87 1778838562.635832310 0.188491 -0.255251 -0.012500 -0.027758796 -0.010977629 0.073278880 -0.996864658 -0.146056568 keyframe_000087.pcd
88 1778838563.135879040 0.438412 -0.271947 0.044715 -0.026051379 -0.013796122 0.069182034 -0.997168410 -0.137755238 keyframe_000088.pcd
89 1778838565.335723877 0.558895 -0.281107 0.078879 -0.030151087 -0.023167707 0.129988833 -0.990786088 -0.259457267 keyframe_000089.pcd
90 1778838565.535709143 0.549215 -0.300608 0.075716 -0.026509955 -0.031420489 0.211435003 -0.976527119 -0.425049171 keyframe_000090.pcd
91 1778838565.735680819 0.514575 -0.330365 0.070661 -0.057824331 -0.027585102 0.297970187 -0.952422793 -0.602307509 keyframe_000091.pcd
92 1778838565.835665941 0.503596 -0.351769 0.069703 -0.079367727 -0.022202240 0.349579227 -0.933274980 -0.710289563 keyframe_000092.pcd
93 1778838565.935865879 0.490402 -0.369750 0.061937 -0.097884671 -0.019746020 0.420441983 -0.901807754 -0.862930192 keyframe_000093.pcd
94 1778838566.035167933 0.466483 -0.401101 0.046913 -0.138156190 -0.037162161 0.491731514 -0.858913243 -1.019023140 keyframe_000094.pcd
95 1778838566.134682894 0.428546 -0.437395 0.037346 -0.158511805 -0.028890171 0.575072709 -0.802079014 -1.217404378 keyframe_000095.pcd
96 1778838566.235182047 0.388800 -0.461152 0.039937 -0.169228539 -0.038057634 0.653957122 -0.736378572 -1.422680921 keyframe_000096.pcd
97 1778838566.334866047 0.348360 -0.471006 0.031456 -0.187056897 -0.027491532 0.730552624 -0.656160648 -1.643342045 keyframe_000097.pcd
98 1778838566.434839725 0.317303 -0.470644 0.015878 -0.214557811 -0.025370910 0.790934722 -0.572488890 -1.845796387 keyframe_000098.pcd
99 1778838566.534565926 0.285900 -0.460216 -0.000858 -0.236454256 -0.021422446 0.846287630 -0.476893815 -2.068759271 keyframe_000099.pcd
100 1778838566.635854244 0.262908 -0.450104 -0.000455 -0.239323909 -0.014572182 0.893035590 -0.380787543 -2.295030465 keyframe_000100.pcd
101 1778838566.735695601 0.227563 -0.426100 -0.004642 -0.244936239 -0.009056609 0.930416015 -0.272489002 -2.539579011 keyframe_000101.pcd
102 1778838566.835695744 0.210173 -0.387156 -0.012940 -0.252932131 -0.008929305 0.954141733 -0.159872319 -2.790624528 keyframe_000102.pcd
103 1778838567.035135508 0.190768 -0.362828 -0.023516 -0.256272966 -0.013880055 0.962650437 -0.086230198 -2.957578251 keyframe_000103.pcd
