phase,direction,progress_start_m,progress_end_m,count,signed_median_m,abs_median_m,abs_p95_m,abs_max_m
0,1,125.0,130.0,103,-0.20011923235720802,0.200119232357208,0.2239153784020961,0.23350325887354853
0,1,130.0,135.0,101,-0.1957991018490594,0.19579910184905938,0.22888671450997364,0.23459878249050897
0,1,135.0,140.0,100,-0.2026204664983154,0.2026204664983154,0.24022795140635725,0.2501504402835154
0,1,140.0,145.0,102,-0.20290817478020562,0.20290817478020562,0.22588244194685494,0.23211249508668325
0,1,145.0,150.0,108,-0.12920451449283707,0.12920451449283704,0.19045309505088745,0.2020409225201707
0,1,150.0,155.0,108,-0.009650169680021217,0.024544507724883688,0.06331337049749224,0.07686801966870517
0,1,155.0,160.0,79,0.047526762719260776,0.047526762719260776,0.06674360350193805,0.07399514385564455
1,-1,0.0,5.0,100,0.04278397012986712,0.04278397012986712,0.07404650560432365,0.07875868293503556
1,-1,5.0,10.0,111,0.022304709033444312,0.02230470903344432,0.04686687445578209,0.062150946691262754
1,-1,10.0,15.0,110,0.00838985949191862,0.009729360389864456,0.034646691205755226,0.048739236495556615
1,-1,15.0,20.0,111,0.03142696543291549,0.03142696543291549,0.06520654169467754,0.07652878094787471
1,-1,20.0,25.0,108,0.03645238902746037,0.03645238902746037,0.06398489913645485,0.08133233378706253
1,-1,25.0,30.0,107,-0.010331951814005263,0.019707648055006178,0.03415617233249327,0.06413610274197205
1,-1,30.0,35.0,111,0.0010250704812923383,0.008730788142146903,0.02667208284883845,0.040559739033955974
1,-1,35.0,40.0,110,0.02475332220722934,0.024753322207229336,0.06337199675972671,0.07258458417170802
1,-1,40.0,45.0,108,0.04076819578919175,0.04076819578919175,0.08435275365993022,0.10223790461803005
1,-1,45.0,50.0,101,0.04104668496157621,0.04104668496157621,0.07771866467274896,0.10085824432938598
1,-1,50.0,55.0,100,0.014307289498794434,0.023503804827451253,0.04105447298117761,0.053427735583011365
1,-1,55.0,60.0,114,-0.07491035940633281,0.07491035940633282,0.3052366259491824,0.32839774871851435
1,-1,60.0,65.0,96,-0.24369727702392313,0.24369727702392308,0.26538035508623253,0.26719402785150004
1,-1,65.0,70.0,100,-0.23736253435801813,0.23736253435801813,0.26197521223695036,0.2711626124469113
1,-1,70.0,75.0,104,-0.26929333840382585,0.26929333840382585,0.28148876603110434,0.2885149188593946
1,-1,75.0,80.0,101,-0.26361969299925664,0.26361969299925664,0.28675473433122917,0.2920465891925288
1,-1,80.0,85.0,100,-0.2691653675908179,0.2691653675908179,0.288092441172514,0.2915140645825836
1,-1,85.0,90.0,92,-0.25566427639277706,0.255664276392777,0.27229646053066775,0.28013887671953586
1,-1,90.0,95.0,92,-0.2483814845348259,0.2483814845348259,0.2669913978914711,0.275798464099539
1,-1,95.0,100.0,93,-0.26617750551185165,0.26617750551185165,0.286110306398282,0.2952611816972759
1,-1,100.0,105.0,95,-0.2613559841562123,0.26135598415621236,0.27514273863982325,0.28501184208765035
1,-1,105.0,110.0,98,-0.25517046539913857,0.25517046539913857,0.26855763257417126,0.27726348533291784
1,-1,110.0,115.0,103,-0.25552315326281855,0.25552315326281855,0.28019806175184625,0.2919691906031395
1,-1,115.0,120.0,101,-0.24116908219772204,0.24116908219772207,0.26908022358935435,0.2737165009696222
1,-1,120.0,125.0,100,-0.2634571721664095,0.2634571721664095,0.28048915498520316,0.29128805319074985
1,-1,125.0,130.0,101,-0.2579595162794499,0.2579595162794499,0.28044652074902143,0.29590498400759707
1,-1,130.0,135.0,102,-0.26840584457612604,0.26840584457612604,0.2841911251337446,0.2896828730085966
1,-1,135.0,140.0,101,-0.2798314215826745,0.27983142158267443,0.3012432114147097,0.3095664829827489
1,-1,140.0,145.0,101,-0.29301992887775885,0.29301992887775885,0.31761947049875655,0.32457715229050726
1,-1,145.0,150.0,109,-0.1808455536097337,0.18084555360973367,0.2595324422151135,0.2635596811509834
1,-1,150.0,155.0,110,-0.018772765823389582,0.022510147183379983,0.10057445983296333,0.11221712436235382
1,-1,155.0,160.0,202,-0.055644607823378565,0.057994824608188555,0.10876098814482156,0.11965758123239717
2,1,0.0,5.0,211,-0.09891079856385629,0.10671886673495085,0.27919312140982977,0.2840143346099662
2,1,5.0,10.0,102,0.0527325603987467,0.05273256039874669,0.07428344425320318,0.08771223733850009
2,1,10.0,15.0,46,0.04931619152961364,0.04931619152961363,0.06456408754756246,0.0665924029141088
