1784729341.660143 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784729342.090080480] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784729342.092296108] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784729371.489418309] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.065, stop_count=0, roi_count=15, lateral_count=0, nearest_x=1.32, clear_frames=214
[INFO] [1784729371.989002392] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.081, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.32, clear_frames=219
[INFO] [1784729372.489834337] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.108, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.39, clear_frames=224
[INFO] [1784729373.038592277] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.092, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.34, clear_frames=230
[INFO] [1784729373.543366030] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.066, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.30, clear_frames=236
[INFO] [1784729374.088569693] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.054, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.41, clear_frames=241
[INFO] [1784729374.588861024] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.33, clear_frames=246
[INFO] [1784729375.138663888] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.34, clear_frames=252
[INFO] [1784729375.638739573] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.32, clear_frames=257
[INFO] [1784729376.139635452] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.39, clear_frames=263
