wall_time,local_time,x,y,route_progress_m,cross_track_m,signed_cross_track_m,heading_error_vs_csv_yaw_deg,odom_stamp_age_ms
1784986254.671262,2026-07-25T21:30:54.671+08:00,2.736158,0.078016,2.750498,0.013907,-0.013907,0.631884,357.558
1784986254.771186,2026-07-25T21:30:54.771+08:00,2.781590,0.090608,2.796048,0.001752,-0.001752,0.501556,358.227
1784986254.871127,2026-07-25T21:30:54.871+08:00,2.831650,0.102880,2.846223,0.010040,0.010040,0.556094,358.749
1784986255.021116,2026-07-25T21:30:55.021+08:00,2.872233,0.121324,2.886982,0.028095,0.028095,0.792592,409.333
1784986255.171214,2026-07-25T21:30:55.171+08:00,2.979527,0.143090,2.994479,0.048832,0.048832,1.098772,360.711
1784986255.271197,2026-07-25T21:30:55.271+08:00,3.032320,0.140143,3.047242,0.045379,0.045379,1.736600,361.334
1784986255.421454,2026-07-25T21:30:55.421+08:00,3.082795,0.137891,3.097693,0.042644,0.042644,2.066200,412.231
1784986255.521412,2026-07-25T21:30:55.521+08:00,3.136436,0.141253,3.151364,0.045493,0.045493,2.015829,412.829
1784986255.674234,2026-07-25T21:30:55.674+08:00,3.231254,0.155992,3.253788,0.050841,0.050841,1.507611,366.961
1784986255.822708,2026-07-25T21:30:55.822+08:00,3.279414,0.152395,3.300923,0.040325,0.040325,1.096964,416.342
1784986255.921165,2026-07-25T21:30:55.921+08:00,3.388971,0.157907,3.410126,0.029952,0.029952,1.427279,316.004
1784986256.021441,2026-07-25T21:30:56.021+08:00,3.429882,0.166205,3.451808,0.032252,0.032252,1.519779,316.861
1784986256.321236,2026-07-25T21:30:56.321+08:00,3.572056,0.186098,3.595363,0.031398,0.031398,1.107124,318.413
1784986256.471250,2026-07-25T21:30:56.471+08:00,3.617526,0.197615,3.641984,0.036225,0.036225,0.782904,369.111
1784986256.571329,2026-07-25T21:30:56.571+08:00,3.674960,0.201800,3.697299,0.035662,0.035662,0.875146,369.830
1784986256.721456,2026-07-25T21:30:56.721+08:00,3.728568,0.213842,3.751707,0.043313,0.043313,0.794474,420.657
1784986256.821253,2026-07-25T21:30:56.821+08:00,3.813124,0.213431,3.835951,0.036039,0.036039,1.006592,321.852
1784986256.971239,2026-07-25T21:30:56.971+08:00,3.868255,0.213026,3.890867,0.031159,0.031159,0.753420,372.478
1784986257.071287,2026-07-25T21:30:57.071+08:00,3.910774,0.220268,3.933834,0.034926,0.034926,0.338778,373.107
1784986257.221006,2026-07-25T21:30:57.221+08:00,3.992728,0.223233,4.015758,0.031228,0.031228,0.072354,324.225
