[INFO] [1784986297.922903263] [waypoint_follower]: nearest=51, target=53, dist=0.69, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986298.923078832] [waypoint_follower]: nearest=52, target=54, dist=0.70, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986299.972690663] [waypoint_follower]: nearest=54, target=56, dist=1.15, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784986300.973691126] [waypoint_follower]: nearest=55, target=57, dist=1.10, alpha=0.06, vx=0.50, yaw_rate=0.06, dir=1
[INFO] [1784986302.022734327] [waypoint_follower]: nearest=56, target=58, dist=1.09, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986303.023009097] [waypoint_follower]: nearest=57, target=59, dist=1.06, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784986304.076161033] [waypoint_follower]: nearest=58, target=60, dist=1.11, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986305.074729367] [waypoint_follower]: nearest=59, target=61, dist=1.07, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986306.122667534] [waypoint_follower]: nearest=60, target=62, dist=1.02, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784986307.122756853] [waypoint_follower]: nearest=61, target=63, dist=0.96, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784986308.172756027] [waypoint_follower]: nearest=62, target=64, dist=0.91, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986309.184401217] [waypoint_follower]: nearest=63, target=65, dist=0.97, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784986310.223576323] [waypoint_follower]: nearest=64, target=66, dist=0.93, alpha=-0.08, vx=0.50, yaw_rate=-0.08, dir=1
[INFO] [1784986311.275195224] [waypoint_follower]: nearest=65, target=67, dist=0.87, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784986312.322542678] [waypoint_follower]: nearest=66, target=68, dist=0.82, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784986313.375240949] [waypoint_follower]: nearest=67, target=69, dist=0.83, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986314.422935394] [waypoint_follower]: nearest=68, target=70, dist=0.75, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784986315.472650636] [waypoint_follower]: nearest=69, target=71, dist=0.80, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784986316.472796415] [waypoint_follower]: nearest=71, target=73, dist=1.13, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784986317.473564632] [waypoint_follower]: nearest=72, target=74, dist=1.10, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986318.524271704] [waypoint_follower]: nearest=73, target=75, dist=1.05, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986319.572646349] [waypoint_follower]: nearest=74, target=76, dist=1.03, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986320.622548173] [waypoint_follower]: nearest=75, target=77, dist=0.95, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986321.623102618] [waypoint_follower]: nearest=76, target=78, dist=1.03, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784986322.624043396] [waypoint_follower]: nearest=77, target=79, dist=0.97, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986323.672706498] [waypoint_follower]: nearest=78, target=80, dist=0.93, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986324.673254490] [waypoint_follower]: nearest=79, target=81, dist=0.95, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784986325.673898916] [waypoint_follower]: nearest=80, target=82, dist=0.88, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986326.722690837] [waypoint_follower]: nearest=81, target=83, dist=0.88, alpha=0.07, vx=0.50, yaw_rate=0.06, dir=1
[INFO] [1784986327.772779239] [waypoint_follower]: nearest=82, target=84, dist=0.80, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784986328.773802764] [waypoint_follower]: nearest=83, target=85, dist=0.83, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986329.822927864] [waypoint_follower]: nearest=85, target=87, dist=1.17, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784986330.822683656] [waypoint_follower]: nearest=85, target=87, dist=0.78, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986331.872750231] [waypoint_follower]: nearest=86, target=88, dist=0.69, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986332.872779055] [waypoint_follower]: nearest=88, target=90, dist=1.15, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784986333.872930746] [waypoint_follower]: nearest=89, target=91, dist=1.14, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
