

===== 2026-05-17T03:51:54.672134 start unitree_cmd_node =====
[INFO] [1778961116.512089920] [unitree_cmd_node]: unitree_cmd_node ACTIVE: /patrol_cmd -> /api/sport/request
[INFO] [1778961116.512809888] [unitree_cmd_node]: Move api_id=1008, StopMove api_id=1003
[INFO] [1778961125.942521760] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.002
[INFO] [1778961125.992453216] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.034
[INFO] [1778961126.042530976] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.034
[INFO] [1778961126.092438496] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.030
[INFO] [1778961126.142477664] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.030
[INFO] [1778961126.192570944] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.025
[INFO] [1778961126.242595200] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.025
[INFO] [1778961126.292467936] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.021
[INFO] [1778961126.342460736] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.021
[INFO] [1778961126.392412576] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.023
[INFO] [1778961126.442313696] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.023
[INFO] [1778961126.492440320] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.020
[INFO] [1778961126.542393792] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.020
[INFO] [1778961126.592368736] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.019
[INFO] [1778961126.642441184] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.019
[INFO] [1778961126.692523104] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.027
[INFO] [1778961126.742500768] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.027
[INFO] [1778961126.792485696] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961126.842483200] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961126.892463616] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961126.942465408] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961126.992443744] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.018
[INFO] [1778961127.042402272] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.018
[INFO] [1778961127.092433920] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961127.142444864] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961127.192569024] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.012
[INFO] [1778961127.242476448] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.012
[INFO] [1778961127.292478400] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.005
[INFO] [1778961127.342457568] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.005
[INFO] [1778961127.392499872] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.029
[INFO] [1778961127.442458656] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.029
[INFO] [1778961127.492486880] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.027
[INFO] [1778961127.542548448] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.027
[INFO] [1778961127.592488288] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961127.642439456] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961127.692535392] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961127.742572256] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961127.792489472] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.035
[INFO] [1778961127.842469888] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.035
[INFO] [1778961127.892437984] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.028
[INFO] [1778961127.942557152] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.028
[INFO] [1778961127.992459232] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.019
[INFO] [1778961128.042534560] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.019
[INFO] [1778961128.092411520] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.036
[INFO] [1778961128.144029600] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.036
[INFO] [1778961128.193378688] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.033
[INFO] [1778961128.243725952] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.033
[INFO] [1778961128.293570592] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961128.343543392] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.017
[INFO] [1778961128.393550400] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.023
[INFO] [1778961128.443568352] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.023
[INFO] [1778961128.493544992] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961128.543543072] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961128.593530464] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.015
[INFO] [1778961128.643546176] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.015
[INFO] [1778961128.694783584] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.020
[INFO] [1778961128.743830784] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.020
[INFO] [1778961128.793844128] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.042
[INFO] [1778961128.843838592] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.042
[INFO] [1778961128.893615872] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.042
[INFO] [1778961128.943512608] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.042
[INFO] [1778961128.993583136] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961129.043550976] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961129.093554784] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.037
[INFO] [1778961129.143592160] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.037
[INFO] [1778961129.193529568] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.040
[INFO] [1778961129.244146880] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.040
[INFO] [1778961129.294040032] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961129.344622144] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.024
[INFO] [1778961129.394014144] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.028
[INFO] [1778961129.443950080] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.028
[INFO] [1778961129.493741472] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.021
[INFO] [1778961129.544063456] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.021
[INFO] [1778961129.593945952] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.018
[INFO] [1778961129.643969600] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.018
[INFO] [1778961129.693990848] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.008
[INFO] [1778961129.744021344] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.008
