1784988380.339752 [0]    python3: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
CALIBRATING samples=0/15 dropped_cloud_frames=0 rejected_motion=0 rejected_source=0
LEVEL_FRAME_READY samples=15 tilt_deg=34.324048 spread_deg=0.757724 source_disagreement_deg=0.912658
POINTS 445019 FRAMES 921/2779 LEVEL_TILT_DEG 34.324048
POINTS 448177 FRAMES 928/2799 LEVEL_TILT_DEG 34.324048
POINTS 450475 FRAMES 933/2816 LEVEL_TILT_DEG 34.324048
POINTS 453827 FRAMES 940/2836 LEVEL_TILT_DEG 34.324048
POINTS 453599 FRAMES 944/2848 LEVEL_TILT_DEG 34.324048
POINTS 457412 FRAMES 951/2868 LEVEL_TILT_DEG 34.324048
POINTS 460783 FRAMES 957/2888 LEVEL_TILT_DEG 34.324048
POINTS 464819 FRAMES 964/2909 LEVEL_TILT_DEG 34.324048
POINTS 469030 FRAMES 971/2929 LEVEL_TILT_DEG 34.324048
POINTS 472806 FRAMES 977/2948 LEVEL_TILT_DEG 34.324048
POINTS 477521 FRAMES 984/2968 LEVEL_TILT_DEG 34.324048
POINTS 482280 FRAMES 991/2988 LEVEL_TILT_DEG 34.324048
POINTS 486143 FRAMES 997/3008 LEVEL_TILT_DEG 34.324048
POINTS 487270 FRAMES 1003/3025 LEVEL_TILT_DEG 34.324048
POINTS 491127 FRAMES 1010/3045 LEVEL_TILT_DEG 34.324048
POINTS 494272 FRAMES 1016/3065 LEVEL_TILT_DEG 34.324048
POINTS 497713 FRAMES 1023/3085 LEVEL_TILT_DEG 34.324048
POINTS 500856 FRAMES 1030/3105 LEVEL_TILT_DEG 34.324048
POINTS 504005 FRAMES 1037/3126 LEVEL_TILT_DEG 34.324048
POINTS 506680 FRAMES 1043/3145 LEVEL_TILT_DEG 34.324048
POINTS 509722 FRAMES 1050/3165 LEVEL_TILT_DEG 34.324048
POINTS 512707 FRAMES 1057/3186 LEVEL_TILT_DEG 34.324048
POINTS 514788 FRAMES 1062/3203 LEVEL_TILT_DEG 34.324048
POINTS 514326 FRAMES 1066/3215 LEVEL_TILT_DEG 34.324048
POINTS 517478 FRAMES 1073/3236 LEVEL_TILT_DEG 34.324048
POINTS 520786 FRAMES 1080/3256 LEVEL_TILT_DEG 34.324048
POINTS 523753 FRAMES 1086/3274 LEVEL_TILT_DEG 34.324048
POINTS 526758 FRAMES 1092/3293 LEVEL_TILT_DEG 34.324048
POINTS 530107 FRAMES 1099/3313 LEVEL_TILT_DEG 34.324048
POINTS 533129 FRAMES 1106/3334 LEVEL_TILT_DEG 34.324048
POINTS 535839 FRAMES 1113/3354 LEVEL_TILT_DEG 34.324048
POINTS 537802 FRAMES 1119/3374 LEVEL_TILT_DEG 34.324048
POINTS 539544 FRAMES 1125/3392 LEVEL_TILT_DEG 34.324048
POINTS 538009 FRAMES 1129/3403 LEVEL_TILT_DEG 34.324048
POINTS 539868 FRAMES 1136/3423 LEVEL_TILT_DEG 34.324048
POINTS 541428 FRAMES 1142/3443 LEVEL_TILT_DEG 34.324048
POINTS 543193 FRAMES 1149/3463 LEVEL_TILT_DEG 34.324048
POINTS 544988 FRAMES 1156/3483 LEVEL_TILT_DEG 34.324048
POINTS 546486 FRAMES 1162/3503 LEVEL_TILT_DEG 34.324048
POINTS 548385 FRAMES 1169/3523 LEVEL_TILT_DEG 34.324048
POINTS 550023 FRAMES 1175/3542 LEVEL_TILT_DEG 34.324048
POINTS 551929 FRAMES 1182/3562 LEVEL_TILT_DEG 34.324048
POINTS 553554 FRAMES 1188/3581 LEVEL_TILT_DEG 34.324048
POINTS 553138 FRAMES 1192/3591 LEVEL_TILT_DEG 34.324048
POINTS 554717 FRAMES 1198/3610 LEVEL_TILT_DEG 34.324048
POINTS 556530 FRAMES 1205/3630 LEVEL_TILT_DEG 34.324048
POINTS 558233 FRAMES 1211/3650 LEVEL_TILT_DEG 34.324048
POINTS 560325 FRAMES 1218/3670 LEVEL_TILT_DEG 34.324048
POINTS 562254 FRAMES 1224/3689 LEVEL_TILT_DEG 34.324048
POINTS 564675 FRAMES 1231/3708 LEVEL_TILT_DEG 34.324048
POINTS 567287 FRAMES 1238/3729 LEVEL_TILT_DEG 34.324048
POINTS 569695 FRAMES 1244/3748 LEVEL_TILT_DEG 34.324048
POINTS 569697 FRAMES 1249/3764 LEVEL_TILT_DEG 34.324048
POINTS 572772 FRAMES 1256/3785 LEVEL_TILT_DEG 34.324048
POINTS 575923 FRAMES 1263/3805 LEVEL_TILT_DEG 34.324048
POINTS 578592 FRAMES 1269/3824 LEVEL_TILT_DEG 34.324048
POINTS 581778 FRAMES 1276/3845 LEVEL_TILT_DEG 34.324048
POINTS 585110 FRAMES 1283/3865 LEVEL_TILT_DEG 34.324048
POINTS 588409 FRAMES 1290/3885 LEVEL_TILT_DEG 34.324048
POINTS 591166 FRAMES 1296/3905 LEVEL_TILT_DEG 34.324048
POINTS 594417 FRAMES 1303/3925 LEVEL_TILT_DEG 34.324048
POINTS 597790 FRAMES 1310/3945 LEVEL_TILT_DEG 34.324048
POINTS 595707 FRAMES 1312/3953 LEVEL_TILT_DEG 34.324048
POINTS 599566 FRAMES 1319/3972 LEVEL_TILT_DEG 34.324048
POINTS 603154 FRAMES 1325/3992 LEVEL_TILT_DEG 34.324048
POINTS 607529 FRAMES 1332/4012 LEVEL_TILT_DEG 34.324048
POINTS 611432 FRAMES 1338/4031 LEVEL_TILT_DEG 34.324048
POINTS 615465 FRAMES 1344/4049 LEVEL_TILT_DEG 34.324048
