[INFO] [1784980095.904170373] [waypoint_follower]: nearest=47, target=49, dist=0.84, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980096.904842425] [waypoint_follower]: nearest=48, target=50, dist=0.83, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784980097.954115577] [waypoint_follower]: nearest=49, target=51, dist=0.80, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980099.004476546] [waypoint_follower]: nearest=50, target=52, dist=0.70, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980100.004047630] [waypoint_follower]: nearest=51, target=53, dist=0.69, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784980101.004448041] [waypoint_follower]: nearest=53, target=55, dist=1.17, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980102.054088450] [waypoint_follower]: nearest=54, target=56, dist=1.16, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980103.054094598] [waypoint_follower]: nearest=55, target=57, dist=1.12, alpha=0.01, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980104.105366046] [waypoint_follower]: nearest=56, target=58, dist=1.14, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784980105.154424292] [waypoint_follower]: nearest=57, target=59, dist=1.06, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1784980106.204039039] [waypoint_follower]: nearest=58, target=60, dist=1.03, alpha=0.02, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980107.206498768] [waypoint_follower]: nearest=59, target=61, dist=1.07, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980108.254023703] [waypoint_follower]: nearest=60, target=62, dist=1.01, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980109.254003453] [waypoint_follower]: nearest=61, target=63, dist=1.01, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980110.303947090] [waypoint_follower]: nearest=62, target=64, dist=0.97, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980111.305621812] [waypoint_follower]: nearest=63, target=65, dist=0.99, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784980112.354558430] [waypoint_follower]: nearest=64, target=66, dist=0.89, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784980113.354257834] [waypoint_follower]: nearest=65, target=67, dist=0.80, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980114.403911750] [waypoint_follower]: nearest=66, target=68, dist=0.81, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980115.403977098] [waypoint_follower]: nearest=67, target=69, dist=0.83, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980116.404413512] [waypoint_follower]: nearest=68, target=70, dist=0.80, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980117.454167970] [waypoint_follower]: nearest=69, target=71, dist=0.83, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980118.504172311] [waypoint_follower]: nearest=70, target=72, dist=0.77, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980119.554156108] [waypoint_follower]: nearest=71, target=73, dist=0.70, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980120.554407310] [waypoint_follower]: nearest=73, target=75, dist=1.13, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980121.557562291] [waypoint_follower]: nearest=74, target=76, dist=1.13, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980122.616008025] [waypoint_follower]: nearest=75, target=77, dist=1.12, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980123.654635420] [waypoint_follower]: nearest=76, target=78, dist=1.04, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980124.704088733] [waypoint_follower]: nearest=77, target=79, dist=0.99, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980125.704273057] [waypoint_follower]: nearest=78, target=80, dist=1.04, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980126.754069979] [waypoint_follower]: nearest=79, target=81, dist=0.91, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980127.754178784] [waypoint_follower]: nearest=80, target=82, dist=0.94, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784980128.754216359] [waypoint_follower]: nearest=81, target=83, dist=0.94, alpha=0.04, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784980129.807355196] [waypoint_follower]: nearest=82, target=84, dist=0.79, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980130.854372241] [waypoint_follower]: nearest=83, target=85, dist=0.81, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980131.904925181] [waypoint_follower]: nearest=84, target=86, dist=0.80, alpha=-0.10, vx=0.50, yaw_rate=-0.09, dir=1
[INFO] [1784980132.953981223] [waypoint_follower]: nearest=85, target=87, dist=0.78, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784980133.954273737] [waypoint_follower]: nearest=87, target=89, dist=1.14, alpha=0.06, vx=0.50, yaw_rate=0.05, dir=1
[INFO] [1784980134.954050006] [waypoint_follower]: nearest=88, target=90, dist=1.17, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980135.954504309] [waypoint_follower]: nearest=89, target=91, dist=1.20, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980137.004013846] [waypoint_follower]: nearest=90, target=92, dist=1.15, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980138.004051902] [waypoint_follower]: nearest=91, target=93, dist=1.10, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980139.004750680] [waypoint_follower]: nearest=92, target=94, dist=1.08, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980140.054226011] [waypoint_follower]: nearest=93, target=95, dist=1.05, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980141.054499486] [waypoint_follower]: nearest=94, target=96, dist=1.00, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980142.104283514] [waypoint_follower]: nearest=95, target=97, dist=0.90, alpha=0.07, vx=0.50, yaw_rate=0.06, dir=1
[INFO] [1784980143.104378721] [waypoint_follower]: nearest=96, target=98, dist=0.93, alpha=0.06, vx=0.50, yaw_rate=0.06, dir=1
[INFO] [1784980144.154193884] [waypoint_follower]: nearest=97, target=99, dist=0.87, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784980145.203842587] [waypoint_follower]: nearest=98, target=100, dist=0.84, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784980146.204043232] [waypoint_follower]: nearest=99, target=101, dist=0.82, alpha=-0.15, vx=0.50, yaw_rate=-0.13, dir=1
[INFO] [1784980147.204453889] [waypoint_follower]: nearest=100, target=102, dist=0.77, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784980148.204718501] [waypoint_follower]: nearest=101, target=103, dist=0.71, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980149.254108137] [waypoint_follower]: nearest=103, target=105, dist=1.15, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980150.304178496] [waypoint_follower]: nearest=104, target=106, dist=1.14, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980151.304345990] [waypoint_follower]: nearest=105, target=107, dist=1.09, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980152.354538106] [waypoint_follower]: nearest=106, target=108, dist=1.05, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1784980153.354277161] [waypoint_follower]: nearest=107, target=109, dist=1.03, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784980154.403986568] [waypoint_follower]: nearest=108, target=110, dist=1.01, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980155.404017616] [waypoint_follower]: nearest=109, target=111, dist=1.08, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784980156.404539247] [waypoint_follower]: nearest=110, target=112, dist=1.04, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784980157.454121744] [waypoint_follower]: nearest=111, target=113, dist=0.99, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784980158.504059690] [waypoint_follower]: nearest=112, target=114, dist=0.98, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980159.504824356] [waypoint_follower]: nearest=113, target=115, dist=1.00, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980160.554688543] [waypoint_follower]: nearest=114, target=116, dist=0.97, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980161.609509332] [waypoint_follower]: nearest=115, target=117, dist=0.85, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980162.654073886] [waypoint_follower]: nearest=116, target=118, dist=0.81, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980163.655636199] [waypoint_follower]: nearest=117, target=119, dist=0.73, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784980164.708581474] [waypoint_follower]: nearest=118, target=120, dist=0.81, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784980165.754031706] [waypoint_follower]: nearest=119, target=121, dist=0.74, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980166.805512884] [waypoint_follower]: nearest=121, target=123, dist=1.05, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980167.854124234] [waypoint_follower]: nearest=122, target=124, dist=1.05, alpha=-0.16, vx=0.50, yaw_rate=-0.14, dir=1
[INFO] [1784980168.904241376] [waypoint_follower]: nearest=123, target=125, dist=1.02, alpha=-0.16, vx=0.50, yaw_rate=-0.14, dir=1
[INFO] [1784980169.954700310] [waypoint_follower]: nearest=124, target=126, dist=1.04, alpha=-0.18, vx=0.50, yaw_rate=-0.16, dir=1
[INFO] [1784980171.004752537] [waypoint_follower]: nearest=125, target=127, dist=0.94, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784980172.005817794] [waypoint_follower]: nearest=126, target=128, dist=0.94, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980173.005430567] [waypoint_follower]: nearest=127, target=129, dist=0.92, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980174.054200129] [waypoint_follower]: nearest=128, target=130, dist=0.87, alpha=-0.16, vx=0.50, yaw_rate=-0.14, dir=1
[INFO] [1784980175.104088718] [waypoint_follower]: nearest=129, target=131, dist=0.85, alpha=-0.10, vx=0.50, yaw_rate=-0.09, dir=1
[INFO] [1784980176.104451280] [waypoint_follower]: nearest=130, target=132, dist=0.79, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980177.154183436] [waypoint_follower]: nearest=131, target=133, dist=0.78, alpha=-0.12, vx=0.50, yaw_rate=-0.11, dir=1
