1784813297.794949 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784813298.396142915] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784813298.399350952] [unitree_safe_cmd_node]: cloud safety freshness uses local receive time; message header stamp is diagnostic only, receive_timeout=1.00s
[INFO] [1784813298.402579121] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784813328.538237124] [unitree_safe_cmd_node]: Move x=0.382, y=-0.000, z=-0.321, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.38, clear_frames=245, cloud_receive_age=0.013s, cloud_stamp_age=0.522s
[INFO] [1784813329.038447666] [unitree_safe_cmd_node]: Move x=0.350, y=-0.000, z=-0.600, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.34, clear_frames=250, cloud_receive_age=0.072s, cloud_stamp_age=0.467s
[INFO] [1784813329.588311194] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.320, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.35, clear_frames=257, cloud_receive_age=0.020s, cloud_stamp_age=0.374s
[INFO] [1784813330.089111162] [unitree_safe_cmd_node]: Move x=0.469, y=-0.000, z=0.181, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.38, clear_frames=262, cloud_receive_age=0.088s, cloud_stamp_age=0.310s
[INFO] [1784813330.590644320] [unitree_safe_cmd_node]: Move x=0.459, y=-0.000, z=0.514, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.38, clear_frames=268, cloud_receive_age=0.067s, cloud_stamp_age=0.235s
[INFO] [1784813331.138141994] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.43, clear_frames=275, cloud_receive_age=0.011s, cloud_stamp_age=0.143s
[INFO] [1784813331.638611282] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.389, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.36, clear_frames=280, cloud_receive_age=0.031s, cloud_stamp_age=0.127s
[INFO] [1784813332.139689800] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.100, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.44, clear_frames=285, cloud_receive_age=0.031s, cloud_stamp_age=0.130s
[INFO] [1784813332.689122057] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.34, clear_frames=290, cloud_receive_age=0.080s, cloud_stamp_age=0.134s
[INFO] [1784813333.238070420] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.050, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=296, cloud_receive_age=0.038s, cloud_stamp_age=0.130s
