# idx stamp x y z qx qy qz qw yaw pcd_file
66 1778824335.775088310 -3.290981 -24.946209 -0.920360 0.232779176 0.016666252 -0.889943298 0.391837999 -2.273887824 keyframe_000066.pcd
67 1778824335.874963522 -3.405410 -25.037065 -0.943061 0.239494305 0.007737989 -0.911513898 0.334252920 -2.400496701 keyframe_000067.pcd
68 1778824335.975105286 -3.512327 -25.102134 -0.966358 0.226392330 0.021109300 -0.938769249 0.258869091 -2.583641540 keyframe_000068.pcd
69 1778824336.073091269 -3.620161 -25.129949 -1.005052 0.241110124 -0.008237354 -0.950804320 0.194342994 -2.708650316 keyframe_000069.pcd
70 1778824336.171884537 -3.728511 -25.140573 -1.021905 0.247286783 -0.025425435 -0.957904315 0.143604034 -2.810323974 keyframe_000070.pcd
71 1778824336.271356821 -3.842032 -25.147145 -1.064603 0.249353573 -0.022163565 -0.962785224 0.101863554 -2.903810049 keyframe_000071.pcd
72 1778824336.474881411 -4.069731 -25.173304 -1.128081 0.239094579 -0.010615728 -0.969516675 0.052521467 -3.020708899 keyframe_000072.pcd
73 1778824336.871680498 -4.534400 -25.192594 -1.204050 0.226154212 0.004812077 -0.973960757 0.015217101 -3.110991661 keyframe_000073.pcd
74 1778824337.374948025 -5.143068 -25.193767 -1.363994 0.242123950 0.006685532 -0.968154731 0.063306500 -3.005996184 keyframe_000074.pcd
75 1778824337.773062706 -5.644957 -25.311240 -1.455760 0.248294776 0.020648675 -0.962445711 0.107803473 -2.914454946 keyframe_000075.pcd
76 1778824338.273697853 -6.232069 -25.470366 -1.567696 0.244465740 0.010566439 -0.961072111 0.128316993 -2.864032190 keyframe_000076.pcd
77 1778824338.673215389 -6.697076 -25.626068 -1.667393 0.240376780 0.002939379 -0.961049618 0.136359800 -2.843102738 keyframe_000077.pcd
78 1778824339.175116062 -7.278487 -25.794915 -1.777627 0.236888130 0.018008554 -0.962199307 0.133162307 -2.858732207 keyframe_000078.pcd
79 1778824339.573985338 -7.778153 -25.913669 -1.915210 0.238053550 0.010864236 -0.961717325 0.135322812 -2.850026747 keyframe_000079.pcd
80 1778824339.975021124 -8.267210 -26.050086 -2.008181 0.230721021 0.011490810 -0.959864225 0.159048553 -2.799645751 keyframe_000080.pcd
81 1778824340.475005388 -8.819336 -26.311258 -2.158947 0.251264595 0.017792519 -0.948215696 0.193485203 -2.720297623 keyframe_000081.pcd
82 1778824340.975121737 -9.405448 -26.535894 -2.248212 0.245127380 0.019358274 -0.949374219 0.195515773 -2.718503520 keyframe_000082.pcd
83 1778824341.375199318 -9.876584 -26.734133 -2.353881 0.256169489 0.014549236 -0.946407182 0.196160543 -2.710855328 keyframe_000083.pcd
84 1778824341.775167465 -10.315405 -26.954758 -2.468853 0.249656573 0.017342699 -0.946995177 0.201422344 -2.702687762 keyframe_000084.pcd
85 1778824342.175040960 -10.757874 -27.168507 -2.568922 0.251065373 0.023044950 -0.945469910 0.206208044 -2.694393360 keyframe_000085.pcd
86 1778824342.575062752 -11.226572 -27.369624 -2.692428 0.243740848 0.021480454 -0.946154730 0.211943901 -2.683091842 keyframe_000086.pcd
87 1778824342.975718975 -11.685073 -27.575619 -2.771153 0.233599748 0.010499193 -0.948172814 0.215149341 -2.673994017 keyframe_000087.pcd
88 1778824343.374848604 -12.131658 -27.794720 -2.850897 0.227787620 0.011276961 -0.950132279 0.212683527 -2.681785854 keyframe_000088.pcd
89 1778824343.775197506 -12.581825 -28.028269 -2.949166 0.231047653 0.016455481 -0.948154724 0.217597834 -2.672190490 keyframe_000089.pcd
90 1778824344.175106764 -13.060134 -28.215523 -3.046036 0.233864879 0.012145728 -0.947900690 0.215972176 -2.672844847 keyframe_000090.pcd
91 1778824344.675188065 -13.629437 -28.472649 -3.167186 0.255538563 0.032006734 -0.942675638 0.212222180 -2.684026450 keyframe_000091.pcd
92 1778824345.075021267 -14.066908 -28.732352 -3.282230 0.251055051 0.021060912 -0.944231268 0.212026205 -2.680179689 keyframe_000092.pcd
93 1778824345.475035191 -14.529519 -28.948654 -3.381383 0.246329988 0.015141303 -0.944800368 0.215509958 -2.670953477 keyframe_000093.pcd
94 1778824345.874926805 -14.986356 -29.149465 -3.465959 0.241756027 0.026154847 -0.945738539 0.215519285 -2.678048168 keyframe_000094.pcd
95 1778824346.273195505 -15.443387 -29.386750 -3.631529 0.238792163 0.023335759 -0.946199257 0.217119116 -2.674018341 keyframe_000095.pcd
96 1778824346.472574234 -15.662584 -29.492103 -3.678025 0.220074429 0.029054787 -0.958600073 0.178350680 -2.767944981 keyframe_000096.pcd
97 1778824346.973275900 -16.259684 -29.646753 -3.785590 0.256648179 0.007220228 -0.956530340 0.138308674 -2.837050956 keyframe_000097.pcd
98 1778824347.375025988 -16.751918 -29.792315 -3.914305 0.246769168 0.018508443 -0.960018378 0.130870657 -2.862185118 keyframe_000098.pcd
99 1778824347.774366379 -17.251196 -29.905164 -4.059119 0.245955526 0.021009080 -0.961421130 0.121383314 -2.884817058 keyframe_000099.pcd
100 1778824348.175123930 -17.736473 -30.036214 -4.171120 0.251823588 0.021786683 -0.959323472 0.125732643 -2.874511869 keyframe_000100.pcd
101 1778824348.574761391 -18.204980 -30.176871 -4.275918 0.255732366 0.018008187 -0.957825599 0.129795164 -2.862501950 keyframe_000101.pcd
102 1778824349.075095177 -18.784495 -30.339226 -4.375630 0.244043639 0.019608682 -0.959627304 0.138468914 -2.846410689 keyframe_000102.pcd
103 1778824349.574986935 -19.357372 -30.508143 -4.505643 0.236605989 0.014108821 -0.961578294 0.138512569 -2.844954900 keyframe_000103.pcd
104 1778824349.975068331 -19.826319 -30.647716 -4.619392 0.244664598 0.010121113 -0.958919514 0.143213700 -2.830651912 keyframe_000104.pcd
