1784731513.788775 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784731514.191919345] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784731514.194194867] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784731540.603090901] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.184, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.27, clear_frames=207
[INFO] [1784731541.103023947] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.108, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.38, clear_frames=213
[INFO] [1784731541.652787771] [unitree_safe_cmd_node]: Move x=0.500, y=0.095, z=0.009, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.35, clear_frames=219
[INFO] [1784731542.202890777] [unitree_safe_cmd_node]: Move x=0.500, y=0.040, z=-0.044, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.40, clear_frames=226
[INFO] [1784731542.703526666] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.118, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.48, clear_frames=231
[INFO] [1784731543.253356650] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.157, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.48, clear_frames=238
[INFO] [1784731543.753771166] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.149, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.35, clear_frames=244
[INFO] [1784731544.303083023] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.129, stop_count=0, roi_count=14, lateral_count=0, nearest_x=1.33, clear_frames=250
[INFO] [1784731544.853191425] [unitree_safe_cmd_node]: Move x=0.500, y=-0.040, z=-0.094, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.40, clear_frames=256
[INFO] [1784731545.353356429] [unitree_safe_cmd_node]: Move x=0.500, y=-0.091, z=-0.009, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.37, clear_frames=262
[INFO] [1784731545.903674774] [unitree_safe_cmd_node]: Move x=0.500, y=-0.058, z=-0.006, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.35, clear_frames=268
[INFO] [1784731546.403911551] [unitree_safe_cmd_node]: Move x=0.500, y=-0.029, z=-0.004, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.30, clear_frames=274
[INFO] [1784731546.953159378] [unitree_safe_cmd_node]: Move x=0.500, y=-0.010, z=-0.003, stop_count=0, roi_count=16, lateral_count=0, nearest_x=1.24, clear_frames=280
[INFO] [1784731547.503345431] [unitree_safe_cmd_node]: Move x=0.500, y=-0.001, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.43, clear_frames=286
[INFO] [1784731548.003542402] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.35, clear_frames=291
[INFO] [1784731548.553273965] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.30, clear_frames=296
[INFO] [1784731549.053591749] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.32, clear_frames=301
[INFO] [1784731549.602909757] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=307
[INFO] [1784731550.156871706] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.36, clear_frames=313
