run,progress_start_m,progress_end_m,count,signed_median_m,signed_p5_m,signed_p95_m
10_body_yaw_first,155.0,160.0,81,0.10419683510121218,0.051212953356963076,0.16422981551395102
11_body_yaw_second,0.0,5.0,112,0.07266841924913775,0.0016625825513083782,0.09798253876822853
11_body_yaw_second,5.0,10.0,106,0.08700566438237661,0.06237333493311012,0.10462222530900164
11_body_yaw_second,10.0,15.0,108,0.09009715433566018,0.060188301090610824,0.10482230133279453
11_body_yaw_second,15.0,20.0,106,0.08973478153069818,0.06318529070241116,0.11004835752760526
11_body_yaw_second,20.0,25.0,107,0.10195310669517883,0.07992813233048392,0.11503454822524292
11_body_yaw_second,25.0,30.0,106,0.0909366166045868,0.07057770135403915,0.10994701773692805
11_body_yaw_second,30.0,35.0,106,0.09356712859095354,0.06010231416865405,0.11220083144157877
11_body_yaw_second,35.0,40.0,105,0.10619197185069375,0.07203741209455349,0.1309323429583733
11_body_yaw_second,40.0,45.0,107,0.1043271386093036,0.08191956585162928,0.1414917132383192
11_body_yaw_second,45.0,50.0,96,0.10860429339193937,0.08565193152250691,0.1634083332890914
11_body_yaw_second,50.0,55.0,107,0.10655362932787245,0.07792651702488623,0.12520094006404875
11_body_yaw_second,55.0,60.0,113,0.10805489254780394,-0.08353899435484638,0.1475992869935432
11_body_yaw_second,60.0,65.0,93,0.1014026149422053,0.06547150707351698,0.1727160490610964
11_body_yaw_second,65.0,70.0,99,0.07080748721528185,0.05178571341739435,0.09635330893034645
11_body_yaw_second,70.0,75.0,101,0.08357339175686386,0.06849359703328432,0.10117361953234627
11_body_yaw_second,75.0,80.0,99,0.09401627277264794,0.05701342535343636,0.11984820487444514
11_body_yaw_second,80.0,85.0,101,0.09785017421584775,0.07709275285782066,0.11631545313261982
11_body_yaw_second,85.0,90.0,99,0.1044362914650145,0.08213374016827947,0.13164379012502955
11_body_yaw_second,90.0,95.0,109,0.10249790117113902,0.08066992547272572,0.12549205571463762
11_body_yaw_second,95.0,100.0,122,0.12159800272285312,0.10028890237633137,0.14071123496763752
11_body_yaw_second,100.0,105.0,98,0.11425978048592805,0.1009663552999608,0.1273640500342949
11_body_yaw_second,105.0,110.0,99,0.1168628525815134,0.09972743686033597,0.1357557179465497
11_body_yaw_second,110.0,115.0,102,0.10887863034300804,0.07161776843867644,0.13153033352757731
11_body_yaw_second,115.0,120.0,100,0.14603927644171272,0.09433498279750956,0.17796952422256548
11_body_yaw_second,120.0,125.0,100,0.13897717473470644,0.12607302377236151,0.15455355307055033
11_body_yaw_second,125.0,130.0,100,0.11205986507740107,0.09006493888767357,0.1304159286050755
