[INFO] [0001202337.207345568] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [0001202337.208416384] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/tju206260710test6-lx.csv
[INFO] [0001202337.209646528] [waypoint_follower]: route points: 178
[INFO] [0001202337.210630048] [waypoint_follower]: loop_mode: pingpong
[INFO] [0001202337.211473696] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [0001202337.212260320] [waypoint_follower]: reach_distance: 0.4
[INFO] [0001202337.401995904] [waypoint_follower]: init nearest_index=0, distance_to_start=0.138
[INFO] [0001202388.817182656] [waypoint_follower]: nearest=20, target=22, dist=1.02, alpha=0.05, vx=0.25, yaw_rate=0.05, dir=1
[INFO] [0001202389.865296864] [waypoint_follower]: nearest=20, target=22, dist=0.80, alpha=-0.00, vx=0.25, yaw_rate=-0.00, dir=1
[INFO] [0001202390.915205120] [waypoint_follower]: nearest=21, target=23, dist=1.10, alpha=-0.03, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202391.965235328] [waypoint_follower]: nearest=21, target=23, dist=0.91, alpha=-0.08, vx=0.25, yaw_rate=-0.07, dir=1
[INFO] [0001202392.965167648] [waypoint_follower]: nearest=22, target=24, dist=1.07, alpha=0.05, vx=0.25, yaw_rate=0.04, dir=1
[INFO] [0001202393.965281024] [waypoint_follower]: nearest=22, target=24, dist=0.91, alpha=-0.07, vx=0.25, yaw_rate=-0.06, dir=1
[INFO] [0001202394.965326240] [waypoint_follower]: nearest=22, target=24, dist=0.70, alpha=0.02, vx=0.25, yaw_rate=0.02, dir=1
[INFO] [0001202395.965320640] [waypoint_follower]: nearest=23, target=25, dist=0.94, alpha=0.02, vx=0.25, yaw_rate=0.01, dir=1
[INFO] [0001202397.015303968] [waypoint_follower]: nearest=23, target=25, dist=0.74, alpha=-0.06, vx=0.25, yaw_rate=-0.05, dir=1
[INFO] [0001202398.015536992] [waypoint_follower]: nearest=24, target=26, dist=0.98, alpha=-0.02, vx=0.25, yaw_rate=-0.02, dir=1
[INFO] [0001202399.065208640] [waypoint_follower]: nearest=24, target=26, dist=0.78, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202400.065339712] [waypoint_follower]: nearest=25, target=27, dist=1.00, alpha=0.11, vx=0.25, yaw_rate=0.10, dir=1
[INFO] [0001202401.065451968] [waypoint_follower]: nearest=25, target=27, dist=0.81, alpha=-0.01, vx=0.25, yaw_rate=-0.00, dir=1
[INFO] [0001202402.121073280] [waypoint_follower]: nearest=26, target=28, dist=1.08, alpha=0.06, vx=0.25, yaw_rate=0.06, dir=1
[INFO] [0001202403.165217568] [waypoint_follower]: nearest=26, target=28, dist=0.90, alpha=0.05, vx=0.25, yaw_rate=0.05, dir=1
[INFO] [0001202404.215361088] [waypoint_follower]: nearest=26, target=28, dist=0.74, alpha=-0.05, vx=0.25, yaw_rate=-0.05, dir=1
[INFO] [0001202405.215259552] [waypoint_follower]: nearest=27, target=29, dist=1.08, alpha=0.01, vx=0.25, yaw_rate=0.01, dir=1
[INFO] [0001202406.265244672] [waypoint_follower]: nearest=27, target=29, dist=0.87, alpha=-0.02, vx=0.25, yaw_rate=-0.02, dir=1
[INFO] [0001202407.317048160] [waypoint_follower]: nearest=28, target=30, dist=1.14, alpha=0.03, vx=0.25, yaw_rate=0.03, dir=1
[INFO] [0001202408.365122528] [waypoint_follower]: nearest=28, target=30, dist=0.94, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202409.371172320] [waypoint_follower]: nearest=28, target=30, dist=0.76, alpha=-0.05, vx=0.25, yaw_rate=-0.05, dir=1
[INFO] [0001202410.415176864] [waypoint_follower]: nearest=29, target=31, dist=1.10, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202411.415279552] [waypoint_follower]: nearest=29, target=31, dist=0.91, alpha=-0.05, vx=0.25, yaw_rate=-0.05, dir=1
[INFO] [0001202412.416946848] [waypoint_follower]: nearest=29, target=31, dist=0.77, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202413.465260512] [waypoint_follower]: nearest=30, target=32, dist=1.08, alpha=0.12, vx=0.25, yaw_rate=0.11, dir=1
[INFO] [0001202414.465398048] [waypoint_follower]: nearest=30, target=32, dist=0.82, alpha=0.00, vx=0.25, yaw_rate=0.00, dir=1
[INFO] [0001202415.515314304] [waypoint_follower]: nearest=31, target=33, dist=1.11, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202416.565271968] [waypoint_follower]: nearest=31, target=33, dist=0.91, alpha=-0.08, vx=0.25, yaw_rate=-0.07, dir=1
[INFO] [0001202417.565485408] [waypoint_follower]: nearest=32, target=34, dist=1.18, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202418.571279136] [waypoint_follower]: nearest=32, target=34, dist=1.01, alpha=-0.05, vx=0.25, yaw_rate=-0.04, dir=1
[INFO] [0001202419.615312544] [waypoint_follower]: nearest=32, target=34, dist=0.80, alpha=-0.06, vx=0.25, yaw_rate=-0.05, dir=1
[INFO] [0001202420.615692416] [waypoint_follower]: nearest=33, target=35, dist=1.06, alpha=0.09, vx=0.25, yaw_rate=0.08, dir=1
[INFO] [0001202421.615605952] [waypoint_follower]: nearest=33, target=35, dist=0.85, alpha=-0.02, vx=0.25, yaw_rate=-0.02, dir=1
[INFO] [0001202422.665060384] [waypoint_follower]: nearest=34, target=36, dist=1.09, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202423.665368064] [waypoint_follower]: nearest=34, target=36, dist=0.88, alpha=-0.07, vx=0.25, yaw_rate=-0.07, dir=1
[INFO] [0001202424.715267680] [waypoint_follower]: nearest=35, target=37, dist=1.17, alpha=0.12, vx=0.25, yaw_rate=0.11, dir=1
[INFO] [0001202425.765227328] [waypoint_follower]: nearest=35, target=37, dist=0.96, alpha=0.04, vx=0.25, yaw_rate=0.04, dir=1
[INFO] [0001202426.765271808] [waypoint_follower]: nearest=35, target=37, dist=0.79, alpha=-0.02, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202427.765288608] [waypoint_follower]: nearest=36, target=38, dist=1.10, alpha=0.02, vx=0.25, yaw_rate=0.02, dir=1
[INFO] [0001202428.815614080] [waypoint_follower]: nearest=36, target=38, dist=0.91, alpha=-0.06, vx=0.25, yaw_rate=-0.05, dir=1
[INFO] [0001202429.819487488] [waypoint_follower]: nearest=37, target=39, dist=1.22, alpha=-0.02, vx=0.25, yaw_rate=-0.01, dir=1
