[INFO] [1784534601.496442378] [route_recorder]: route_recorder started
[INFO] [1784534601.502405354] [route_recorder]: odom_topic: /Odometry
[INFO] [1784534601.507411520] [route_recorder]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/xbf0720-1.csv
[INFO] [1784534601.512486806] [route_recorder]: raw_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/raw/xbf0720-1.raw.csv
[WARN] [1784534647.663689732] [route_recorder]: ignored odometry jump: step=14.289m exceeds max_odom_step=0.300m
[WARN] [1784534647.785233586] [route_recorder]: ignored odometry jump: step=14.372m exceeds max_odom_step=0.300m
[WARN] [1784534647.932258834] [route_recorder]: ignored odometry jump: step=14.473m exceeds max_odom_step=0.300m
[WARN] [1784534648.055655209] [route_recorder]: ignored odometry jump: step=14.543m exceeds max_odom_step=0.300m
[WARN] [1784534648.144761178] [route_recorder]: ignored odometry jump: step=14.647m exceeds max_odom_step=0.300m
[WARN] [1784534648.247693033] [route_recorder]: ignored odometry jump: step=14.708m exceeds max_odom_step=0.300m
[WARN] [1784534648.449231663] [route_recorder]: ignored odometry jump: step=14.778m exceeds max_odom_step=0.300m
[WARN] [1784534648.503414809] [route_recorder]: ignored odometry jump: step=14.920m exceeds max_odom_step=0.300m
[WARN] [1784534648.579212218] [route_recorder]: ignored odometry jump: step=15.002m exceeds max_odom_step=0.300m
[WARN] [1784534648.713610129] [route_recorder]: ignored odometry jump: step=15.151m exceeds max_odom_step=0.300m
[WARN] [1784534648.861057920] [route_recorder]: ignored odometry jump: step=15.218m exceeds max_odom_step=0.300m
[WARN] [1784534649.000176740] [route_recorder]: ignored odometry jump: step=15.266m exceeds max_odom_step=0.300m
[WARN] [1784534649.121443635] [route_recorder]: ignored odometry jump: step=15.336m exceeds max_odom_step=0.300m
[WARN] [1784534649.238585875] [route_recorder]: ignored odometry jump: step=15.478m exceeds max_odom_step=0.300m
[WARN] [1784534649.364003720] [route_recorder]: ignored odometry jump: step=15.663m exceeds max_odom_step=0.300m
[WARN] [1784534649.472526985] [route_recorder]: ignored odometry jump: step=15.821m exceeds max_odom_step=0.300m
[WARN] [1784534649.600059037] [route_recorder]: ignored odometry jump: step=15.974m exceeds max_odom_step=0.300m
[WARN] [1784534649.778744689] [route_recorder]: ignored odometry jump: step=16.114m exceeds max_odom_step=0.300m
[WARN] [1784534649.902505576] [route_recorder]: ignored odometry jump: step=16.194m exceeds max_odom_step=0.300m
[WARN] [1784534650.173569220] [route_recorder]: ignored odometry jump: step=16.252m exceeds max_odom_step=0.300m
[WARN] [1784534650.329527840] [route_recorder]: ignored odometry jump: step=16.392m exceeds max_odom_step=0.300m
[WARN] [1784534650.511383164] [route_recorder]: ignored odometry jump: step=16.448m exceeds max_odom_step=0.300m
[WARN] [1784534650.744846417] [route_recorder]: ignored odometry jump: step=16.542m exceeds max_odom_step=0.300m
[WARN] [1784534650.785899394] [route_recorder]: ignored odometry jump: step=16.621m exceeds max_odom_step=0.300m
[WARN] [1784534650.917217349] [route_recorder]: ignored odometry jump: step=16.704m exceeds max_odom_step=0.300m
[WARN] [1784534651.071603806] [route_recorder]: ignored odometry jump: step=16.771m exceeds max_odom_step=0.300m
[WARN] [1784534651.207534676] [route_recorder]: ignored odometry jump: step=16.817m exceeds max_odom_step=0.300m
[WARN] [1784534651.338945851] [route_recorder]: ignored odometry jump: step=16.969m exceeds max_odom_step=0.300m
[WARN] [1784534651.571955449] [route_recorder]: ignored odometry jump: step=17.046m exceeds max_odom_step=0.300m
[WARN] [1784534651.690492000] [route_recorder]: ignored odometry jump: step=17.123m exceeds max_odom_step=0.300m
[WARN] [1784534651.841315931] [route_recorder]: ignored odometry jump: step=17.178m exceeds max_odom_step=0.300m
[WARN] [1784534651.997849501] [route_recorder]: ignored odometry jump: step=17.239m exceeds max_odom_step=0.300m
[WARN] [1784534652.161376767] [route_recorder]: ignored odometry jump: step=17.364m exceeds max_odom_step=0.300m
[WARN] [1784534652.350320564] [route_recorder]: ignored odometry jump: step=17.414m exceeds max_odom_step=0.300m
[WARN] [1784534652.471565167] [route_recorder]: ignored odometry jump: step=17.475m exceeds max_odom_step=0.300m
[WARN] [1784534652.713696539] [route_recorder]: ignored odometry jump: step=17.559m exceeds max_odom_step=0.300m
[WARN] [1784534652.882154582] [route_recorder]: ignored odometry jump: step=17.743m exceeds max_odom_step=0.300m
[WARN] [1784534652.992159350] [route_recorder]: ignored odometry jump: step=17.818m exceeds max_odom_step=0.300m
[WARN] [1784534653.235377743] [route_recorder]: ignored odometry jump: step=17.940m exceeds max_odom_step=0.300m
[WARN] [1784534653.302038553] [route_recorder]: ignored odometry jump: step=18.044m exceeds max_odom_step=0.300m
[WARN] [1784534653.376667246] [route_recorder]: ignored odometry jump: step=18.106m exceeds max_odom_step=0.300m
[WARN] [1784534653.452673790] [route_recorder]: ignored odometry jump: step=18.184m exceeds max_odom_step=0.300m
[WARN] [1784534653.543563753] [route_recorder]: ignored odometry jump: step=18.309m exceeds max_odom_step=0.300m
[WARN] [1784534653.762747100] [route_recorder]: ignored odometry jump: step=18.390m exceeds max_odom_step=0.300m
[WARN] [1784534653.825645246] [route_recorder]: ignored odometry jump: step=18.554m exceeds max_odom_step=0.300m
[WARN] [1784534653.953350317] [route_recorder]: ignored odometry jump: step=18.629m exceeds max_odom_step=0.300m
[WARN] [1784534654.104642098] [route_recorder]: ignored odometry jump: step=18.793m exceeds max_odom_step=0.300m
[WARN] [1784534654.341384785] [route_recorder]: ignored odometry jump: step=18.974m exceeds max_odom_step=0.300m
