[INFO] [1784211145.401470722] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784211166.119945033] [waypoint_follower]: nearest=14, target=15, s=6.31/8.86, projected_segment_index=14, segment_t=0.12, raw_s=6.31, raw_segment_index=14, raw_t=0.12, projection_limited=False, target_s=6.68, target_xy=(2.62,0.20), lookahead_distance=0.37, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.37, sharp_corner=True, target_segment_index=14, target_t=1.00, route_yaw=1.47, dist=0.37, route_d=0.03, lateral_error=0.03, route_heading_error=0.05, lateral_yaw_rate=-0.01, pose=(2.55,-0.17,1.42), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.03, heading_control=lookahead_target:-0.03, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=-0.01, dir=1, turn_crawl=False
[INFO] [1784211167.170890930] [waypoint_follower]: nearest=14, target=15, s=6.47/8.86, projected_segment_index=14, segment_t=0.50, raw_s=6.47, raw_segment_index=14, raw_t=0.50, projection_limited=False, target_s=6.68, target_xy=(2.62,0.20), lookahead_distance=0.21, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.21, sharp_corner=True, target_segment_index=14, target_t=1.00, route_yaw=1.47, dist=0.22, route_d=0.04, lateral_error=0.04, route_heading_error=0.08, lateral_yaw_rate=-0.01, pose=(2.56,-0.01,1.38), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.08, heading_control=corner_next_heading:2.50, corner_turn=True, corner_heading_error=2.50, heading_yaw_rate=1.87, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211168.169859990] [waypoint_follower]: nearest=14, target=15, s=6.42/8.86, projected_segment_index=14, segment_t=0.38, raw_s=6.42, raw_segment_index=14, raw_t=0.38, projection_limited=False, target_s=6.68, target_xy=(2.62,0.20), lookahead_distance=0.27, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.27, sharp_corner=True, target_segment_index=14, target_t=1.00, route_yaw=1.47, dist=0.28, route_d=0.10, lateral_error=0.10, route_heading_error=-0.22, lateral_yaw_rate=-0.02, pose=(2.50,-0.05,1.68), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.57, heading_control=corner_next_heading:2.20, corner_turn=True, corner_heading_error=2.20, heading_yaw_rate=1.65, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211169.220232204] [waypoint_follower]: nearest=15, target=17, s=6.72/8.86, projected_segment_index=15, segment_t=0.08, raw_s=7.06, raw_segment_index=15, raw_t=0.88, projection_limited=True, target_s=7.62, target_xy=(1.81,-0.20), lookahead_distance=0.90, corner_angle=0.48, corner_angle_deg=27.3, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=17, target_t=0.18, route_yaw=-2.40, dist=0.57, route_d=0.34, lateral_error=0.03, route_heading_error=1.68, lateral_yaw_rate=-0.01, pose=(2.37,-0.07,2.21), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=1.16, heading_control=lookahead_target:1.16, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.87, vx=0.04, yaw_rate=0.45, dir=1, turn_crawl=False
[INFO] [1784211170.269738794] [waypoint_follower]: nearest=16, target=18, s=7.09/8.86, projected_segment_index=15, segment_t=0.96, raw_s=7.15, raw_segment_index=16, raw_t=0.09, projection_limited=True, target_s=7.99, target_xy=(1.44,-0.21), lookahead_distance=0.90, corner_angle=0.48, corner_angle_deg=27.3, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=17, target_t=0.96, route_yaw=-2.40, dist=0.84, route_d=0.07, lateral_error=0.01, route_heading_error=1.07, lateral_yaw_rate=0.00, pose=(2.28,-0.13,2.81), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.43, heading_control=lookahead_target:0.43, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.32, vx=0.20, yaw_rate=0.33, dir=1, turn_crawl=False
[INFO] [1784211171.270822459] [waypoint_follower]: nearest=16, target=18, s=7.30/8.86, projected_segment_index=16, segment_t=0.46, raw_s=7.30, raw_segment_index=16, raw_t=0.46, projection_limited=False, target_s=8.20, target_xy=(1.23,-0.18), lookahead_distance=0.90, corner_angle=0.25, corner_angle_deg=14.3, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=18, target_t=0.47, route_yaw=-2.88, dist=0.89, route_d=0.01, lateral_error=0.01, route_heading_error=0.22, lateral_yaw_rate=0.00, pose=(2.12,-0.15,-3.10), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.01, heading_control=lookahead_target:-0.01, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=0.00, dir=1, turn_crawl=False
[INFO] [1784211172.273676789] [waypoint_follower]: nearest=17, target=19, s=7.47/8.86, projected_segment_index=16, segment_t=0.84, raw_s=7.47, raw_segment_index=16, raw_t=0.85, projection_limited=True, target_s=8.37, target_xy=(1.07,-0.15), lookahead_distance=0.90, corner_angle=0.25, corner_angle_deg=14.3, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=18, target_t=0.86, route_yaw=-2.88, dist=0.88, route_d=0.04, lateral_error=-0.04, route_heading_error=0.21, lateral_yaw_rate=0.01, pose=(1.95,-0.14,-3.09), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.04, heading_control=lookahead_target:-0.04, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=0.01, dir=1, turn_crawl=False
[INFO] [1784211173.320274883] [waypoint_follower]: nearest=17, target=19, s=7.60/8.86, projected_segment_index=17, segment_t=0.13, raw_s=7.60, raw_segment_index=17, raw_t=0.13, projection_limited=False, target_s=8.50, target_xy=(0.94,-0.14), lookahead_distance=0.90, corner_angle=0.19, corner_angle_deg=10.6, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=19, target_t=0.16, route_yaw=-3.13, dist=0.89, route_d=0.06, lateral_error=-0.06, route_heading_error=-0.03, lateral_yaw_rate=0.01, pose=(1.83,-0.14,-3.09), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.04, heading_control=lookahead_target:-0.04, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=0.01, dir=1, turn_crawl=False
[INFO] [1784211174.369931227] [waypoint_follower]: nearest=17, target=19, s=7.71/8.86, projected_segment_index=17, segment_t=0.38, raw_s=7.71, raw_segment_index=17, raw_t=0.38, projection_limited=False, target_s=8.61, target_xy=(0.82,-0.15), lookahead_distance=0.90, corner_angle=0.19, corner_angle_deg=10.6, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=19, target_t=0.43, route_yaw=-3.13, dist=0.89, route_d=0.07, lateral_error=-0.07, route_heading_error=-0.02, lateral_yaw_rate=0.01, pose=(1.71,-0.13,-3.10), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.02, heading_control=lookahead_target:-0.02, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=0.01, dir=1, turn_crawl=False
[INFO] [1784211175.424238882] [waypoint_follower]: nearest=18, target=20, s=7.81/8.86, projected_segment_index=17, segment_t=0.58, raw_s=7.81, raw_segment_index=17, raw_t=0.58, projection_limited=False, target_s=8.71, target_xy=(0.72,-0.15), lookahead_distance=0.90, corner_angle=0.19, corner_angle_deg=10.6, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=19, target_t=0.65, route_yaw=-3.13, dist=0.89, route_d=0.10, lateral_error=-0.10, route_heading_error=-0.03, lateral_yaw_rate=0.02, pose=(1.62,-0.10,-3.10), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.01, heading_control=lookahead_target:0.01, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=0.02, dir=1, turn_crawl=False
