[INFO] [0000684297.571354208] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [0000684328.014259648] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=45, nearest_x=0.84, clear_frames=270
[WARN] [0000684329.013977952] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=47, nearest_x=0.82, clear_frames=276
[WARN] [0000684329.513978624] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=45, nearest_x=0.82, clear_frames=281
[WARN] [0000684330.514145824] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=53, nearest_x=0.84, clear_frames=292
[WARN] [0000684331.513632256] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=61, nearest_x=0.84, clear_frames=304
[WARN] [0000684332.013862880] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=49, nearest_x=0.81, clear_frames=309
[WARN] [0000684333.013792800] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=51, nearest_x=0.83, clear_frames=320
[WARN] [0000684334.013855360] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=47, nearest_x=0.82, clear_frames=331
[WARN] [0000684335.013999392] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=56, nearest_x=0.84, clear_frames=342
[WARN] [0000684336.022428224] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=56, nearest_x=0.82, clear_frames=354
[WARN] [0000684337.013592352] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=48, nearest_x=0.83, clear_frames=365
[WARN] [0000684337.513777376] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=34, nearest_x=0.84, clear_frames=370
[WARN] [0000684338.513817792] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=67, nearest_x=0.83, clear_frames=381
[WARN] [0000684339.513782560] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=61, nearest_x=0.84, clear_frames=392
[WARN] [0000684340.513857952] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=61, nearest_x=0.82, clear_frames=403
[WARN] [0000684341.516837120] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=38, nearest_x=0.83, clear_frames=414
[WARN] [0000684342.514019200] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=42, nearest_x=0.83, clear_frames=425
[WARN] [0000684343.513917504] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=62, nearest_x=0.82, clear_frames=436
[WARN] [0000684344.017987968] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=53, nearest_x=0.85, clear_frames=438
[WARN] [0000684345.014229824] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=50, nearest_x=0.83, clear_frames=449
[WARN] [0000684346.014289824] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=52, nearest_x=0.86, clear_frames=460
[WARN] [0000684347.018609216] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=40, nearest_x=0.84, clear_frames=472
[WARN] [0000684348.013632352] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=57, nearest_x=0.81, clear_frames=482
[WARN] [0000684348.513648320] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=69, nearest_x=0.84, clear_frames=487
[WARN] [0000684349.013651232] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=61, nearest_x=0.81, clear_frames=492
[WARN] [0000684349.513670656] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=60, nearest_x=0.83, clear_frames=497
[WARN] [0000684350.513614528] [unitree_safe_cmd_node]: SAFE OVERRIDE cm
