[INFO] [1784295987.950339938] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784296047.080439547] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=455
[INFO] [1784296047.631179420] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=460
[INFO] [1784296048.131275384] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=464
[INFO] [1784296048.631375104] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=468
[INFO] [1784296049.135745192] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=472
[INFO] [1784296049.680362931] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=474
[INFO] [1784296050.230844775] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=478
[INFO] [1784296050.781599106] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=483
[INFO] [1784296051.330393021] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=487
[INFO] [1784296051.880337654] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=493
[INFO] [1784296052.386791314] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=499
[INFO] [1784296052.930622626] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=504
[INFO] [1784296053.432298016] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=510
[INFO] [1784296053.980483623] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=515
[INFO] [1784296054.530182493] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=521
[INFO] [1784296055.031138883] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=526
[INFO] [1784296055.580657337] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=532
[INFO] [1784296056.080989328] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=537
[INFO] [1784296056.630515160] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=543
[INFO] [1784296057.180661222] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=548
[INFO] [1784296057.730279177] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=554
[INFO] [1784296058.235322289] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=559
[INFO] [1784296058.780290945] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=565
[INFO] [1784296059.283988910] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=571
[INFO] [1784296059.830550357] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=576
