[ERROR] [1784458374.253271648] [waypoint_follower]: route start mismatch: current=(-0.004,0.010,0.002), route_start=(2.773,-9.460,-0.219), distance=9.868/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458376.341765312] [waypoint_follower]: route start mismatch: current=(-0.006,0.005,0.002), route_start=(2.773,-9.460,-0.219), distance=9.865/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458378.376918272] [waypoint_follower]: route start mismatch: current=(-0.004,0.004,0.002), route_start=(2.773,-9.460,-0.219), distance=9.863/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458380.455108160] [waypoint_follower]: route start mismatch: current=(-0.002,0.001,0.002), route_start=(2.773,-9.460,-0.219), distance=9.859/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458382.550472096] [waypoint_follower]: route start mismatch: current=(-0.008,0.008,0.002), route_start=(2.773,-9.460,-0.219), distance=9.868/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458384.640112512] [waypoint_follower]: route start mismatch: current=(-0.007,0.008,0.001), route_start=(2.773,-9.460,-0.219), distance=9.868/0.500, yaw_error=0.220/0.900; hold stop
[ERROR] [1784458386.704814784] [waypoint_follower]: route start mismatch: current=(-0.005,0.009,0.002), route_start=(2.773,-9.460,-0.219), distance=9.868/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458388.746837568] [waypoint_follower]: route start mismatch: current=(-0.002,0.013,0.002), route_start=(2.773,-9.460,-0.219), distance=9.871/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458390.832372416] [waypoint_follower]: route start mismatch: current=(-0.004,0.010,0.002), route_start=(2.773,-9.460,-0.219), distance=9.869/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458392.922654368] [waypoint_follower]: route start mismatch: current=(-0.004,0.006,0.002), route_start=(2.773,-9.460,-0.219), distance=9.865/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458394.938224736] [waypoint_follower]: route start mismatch: current=(-0.007,0.006,0.003), route_start=(2.773,-9.460,-0.219), distance=9.866/0.500, yaw_error=0.222/0.900; hold stop
[ERROR] [1784458396.956550272] [waypoint_follower]: route start mismatch: current=(-0.006,0.003,0.002), route_start=(2.773,-9.460,-0.2
