[INFO] [1783340194.081942397] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1783340194.093177215] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/shang8_2.csv
[INFO] [1783340194.097573944] [waypoint_follower]: route points: 140
[INFO] [1783340194.098299925] [waypoint_follower]: loop_mode: pingpong
[INFO] [1783340194.098943392] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1783340194.099550180] [waypoint_follower]: reach_distance: 0.4
[INFO] [1783340194.111719792] [waypoint_follower]: init nearest_index=0, distance_to_start=0.037
[INFO] [1783340247.499472757] [waypoint_follower]: nearest=35, target=37, dist=1.07, alpha=0.02, vx=0.40, yaw_rate=0.02, dir=1
[INFO] [1783340248.549723407] [waypoint_follower]: nearest=36, target=38, dist=1.14, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340249.599408622] [waypoint_follower]: nearest=36, target=38, dist=0.79, alpha=0.04, vx=0.40, yaw_rate=0.04, dir=1
[INFO] [1783340250.599833470] [waypoint_follower]: nearest=37, target=39, dist=0.92, alpha=-0.02, vx=0.40, yaw_rate=-0.02, dir=1
[INFO] [1783340251.649198648] [waypoint_follower]: nearest=37, target=39, dist=0.63, alpha=0.01, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340252.649292160] [waypoint_follower]: nearest=38, target=40, dist=0.68, alpha=0.02, vx=0.40, yaw_rate=0.02, dir=1
[INFO] [1783340253.649932319] [waypoint_follower]: nearest=39, target=41, dist=0.81, alpha=0.00, vx=0.40, yaw_rate=0.00, dir=1
[INFO] [1783340254.699169949] [waypoint_follower]: nearest=40, target=42, dist=0.98, alpha=0.01, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340255.699325971] [waypoint_follower]: nearest=41, target=43, dist=1.11, alpha=0.00, vx=0.40, yaw_rate=0.00, dir=1
[INFO] [1783340256.749579533] [waypoint_follower]: nearest=41, target=43, dist=0.82, alpha=0.01, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340257.799356064] [waypoint_follower]: nearest=42, target=44, dist=0.88, alpha=0.03, vx=0.40, yaw_rate=0.03, dir=1
[INFO] [1783340258.799404831] [waypoint_follower]: nearest=43, target=45, dist=1.00, alpha=0.04, vx=0.40, yaw_rate=0.04, dir=1
[INFO] [1783340259.849211769] [waypoint_follower]: nearest=43, target=45, dist=0.67, alpha=0.03, vx=0.40, yaw_rate=0.03, dir=1
[INFO] [1783340260.849245716] [waypoint_follower]: nearest=44, target=46, dist=0.76, alpha=-0.05, vx=0.40, yaw_rate=-0.05, dir=1
[INFO] [1783340261.899296515] [waypoint_follower]: nearest=45, target=47, dist=0.86, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340262.949157224] [waypoint_follower]: nearest=46, target=48, dist=0.96, alpha=-0.09, vx=0.40, yaw_rate=-0.08, dir=1
[INFO] [1783340263.949892731] [waypoint_follower]: nearest=46, target=48, dist=0.66, alpha=-0.04, vx=0.40, yaw_rate=-0.04, dir=1
[INFO] [1783340264.999409014] [waypoint_follower]: nearest=47, target=49, dist=0.72, alpha=0.06, vx=0.40, yaw_rate=0.05, dir=1
[INFO] [1783340265.999624313] [waypoint_follower]: nearest=48, target=50, dist=0.86, alpha=-0.00, vx=0.40, yaw_rate=-0.00, dir=1
[INFO] [1783340267.002615893] [waypoint_follower]: nearest=49, target=51, dist=1.04, alpha=-0.04, vx=0.40, yaw_rate=-0.04, dir=1
[INFO] [1783340268.049299786] [waypoint_follower]: nearest=49, target=51, dist=0.68, alpha=-0.01, vx=0.40, yaw_rate=-0.00, dir=1
[INFO] [1783340269.099244993] [waypoint_follower]: nearest=50, target=52, dist=0.79, alpha=-0.04, vx=0.40, yaw_rate=-0.03, dir=1
[INFO] [1783340270.099314404] [waypoint_follower]: nearest=51, target=53, dist=0.90, alpha=0.01, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340271.149372757] [waypoint_follower]: nearest=52, target=54, dist=1.02, alpha=0.01, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340272.149556464] [waypoint_follower]: nearest=52, target=54, dist=0.73, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340273.149591532] [waypoint_follower]: nearest=53, target=55, dist=0.87, alpha=0.05, vx=0.40, yaw_rate=0.04, dir=1
[INFO] [1783340274.149552216] [waypoint_follower]: nearest=54, target=56, dist=1.06, alpha=0.02, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340275.199412637] [waypoint_follower]: nearest=55, target=57, dist=1.10, alpha=-0.07, vx=0.40, yaw_rate=-0.06, dir=1
[INFO] [1783340276.249280580] [waypoint_follower]: nearest=55, target=57, dist=0.82, alpha=-0.07, vx=0.40, yaw_rate=-0.06, dir=1
[INFO] [1783340277.250267373] [waypoint_follower]: nearest=56, target=58, dist=0.95, alpha=0.06, vx=0.40, yaw_rate=0.05, dir=1
[INFO] [1783340278.299365838] [waypoint_follower]: nearest=57, target=59, dist=1.02, alpha=0.03, vx=0.40, yaw_rate=0.03, dir=1
[INFO] [1783340279.349189067] [waypoint_follower]: nearest=57, target=59, dist=0.71, alpha=0.02, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340280.350572491] [waypoint_follower]: nearest=57, target=59, dist=0.71, alpha=0.07, vx=0.40, yaw_rate=0.06, dir=1
[WARN] [1783340281.099524751] [waypoint_follower]: stuck recovery: nearest_index 57 -> 57
[INFO] [1783340281.399451355] [waypoint_follower]: nearest=57, target=59, dist=0.69, alpha=0.06, vx=0.40, yaw_rate=0.05, dir=1
[INFO] [1783340282.399507995] [waypoint_follower]: nearest=58, target=60, dist=0.76, alpha=0.04, vx=0.40, yaw_rate=0.03, dir=1
[INFO] [1783340283.449511840] [waypoint_follower]: nearest=59, target=61, dist=0.88, alpha=-0.09, vx=0.40, yaw_rate=-0.08, dir=1
[INFO] [1783340284.499225061] [waypoint_follower]: nearest=60, target=62, dist=1.04, alpha=0.07, vx=0.40, yaw_rate=0.07, dir=1
[INFO] [1783340285.499520793] [waypoint_follower]: nearest=60, target=62, dist=0.73, alpha=0.00, vx=0.40, yaw_rate=0.00, dir=1
[INFO] [1783340286.549369820] [waypoint_follower]: nearest=61, target=63, dist=0.92, alpha=0.02, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340287.549426620] [waypoint_follower]: nearest=62, target=64, dist=1.08, alpha=-0.04, vx=0.40, yaw_rate=-0.04, dir=1
[INFO] [1783340288.599278432] [waypoint_follower]: nearest=62, target=64, dist=0.70, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340289.599416786] [waypoint_follower]: nearest=63, target=65, dist=0.83, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340290.599503128] [waypoint_follower]: nearest=64, target=66, dist=1.04, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340291.649483352] [waypoint_follower]: nearest=65, target=67, dist=1.16, alpha=0.05, vx=0.40, yaw_rate=0.05, dir=1
[INFO] [1783340292.699263819] [waypoint_follower]: nearest=65, target=67, dist=0.83, alpha=0.03, vx=0.40, yaw_rate=0.03, dir=1
[INFO] [1783340293.749190911] [waypoint_follower]: nearest=66, target=68, dist=0.99, alpha=-0.05, vx=0.40, yaw_rate=-0.04, dir=1
[INFO] [1783340294.749243263] [waypoint_follower]: nearest=67, target=69, dist=1.09, alpha=-0.03, vx=0.40, yaw_rate=-0.02, dir=1
